pl_name,hostname,pl_orbsmax,pl_orbeccen,pl_bmasse,pl_rade,discoverymethod,disc_year,disc_facility
DMPP-1 b,DMPP-1,0.1462,0.083,24.27,5.29,Radial Velocity,2019,La Silla Observatory
DMPP-1 c,DMPP-1,0.0733,0.057,9.6,3.06,Radial Velocity,2019,La Silla Observatory
DMPP-1 d,DMPP-1,0.0422,0.07,3.35,1.65,Radial Velocity,2019,La Silla Observatory
DMPP-1 e,DMPP-1,0.0651,0.07,4.13,1.86,Radial Velocity,2019,La Silla Observatory
DMPP-2 b,DMPP-2,0.0664,0.078,138.89171,14.3,Radial Velocity,2019,Multiple Facilities
DMPP-3 A b,DMPP-3 A,0.0662,0.14,2.58,1.41,Radial Velocity,2019,La Silla Observatory
DP Leo b,DP Leo,8.19,0.39,1995.88832,12.7,Eclipse Timing Variations,2009,Yunnan Astronomical Observatory
EPIC 201170410.02,EPIC 201170410,0.0349,0.0,1.15,1.047,Transit,2020,K2
EPIC 201757695.02,EPIC 201757695,0.0296,0.0,0.688,0.908,Transit,2020,K2
EPIC 211822797 b,EPIC 211822797,0.1195,0.06,4.35,1.92,Transit,2016,K2
EPIC 211945201 b,EPIC 211945201,0.1493,0.0,27.0,5.76,Transit,2018,K2
EPIC 212737443 b,EPIC 212737443,0.098,0.2,7.2,2.586,Transit,2019,K2
EPIC 212737443 c,EPIC 212737443,0.28,0.2,7.7,2.69,Transit,2019,K2
EPIC 220674823 b,EPIC 220674823,0.01326,0.0,8.21,1.725,Transit,2016,K2
EPIC 220674823 c,EPIC 220674823,0.1083,0.13,8.9,2.836,Transit,2016,K2
EPIC 229004835 b,EPIC 229004835,0.1237,0.23,10.4,2.332,Transit,2023,K2
EPIC 248847494 b,EPIC 248847494,4.5,0.0,4131.79,12.442,Transit,2018,K2
EPIC 249893012 b,EPIC 249893012,0.047,0.06,8.75,1.95,Transit,2020,K2
EPIC 249893012 c,EPIC 249893012,0.13,0.07,14.67,3.67,Transit,2020,K2
EPIC 249893012 d,EPIC 249893012,0.22,0.15,10.18,3.94,Transit,2020,K2
G 9-40 b,G 9-40,0.0385,0.0,11.7,2.025,Transit,2019,K2
GJ 1061 b,GJ 1061,0.021,0.31,1.37,1.1,Radial Velocity,2020,La Silla Observatory
GJ 1061 c,GJ 1061,0.035,0.29,1.74,1.18,Radial Velocity,2020,La Silla Observatory
GJ 1061 d,GJ 1061,0.054,0.53,1.64,1.16,Radial Velocity,2020,La Silla Observatory
GJ 1132 b,GJ 1132,0.0153,0.22,1.66,1.13,Transit,2015,Cerro Tololo Inter-American Observatory
GJ 1132 c,GJ 1132,0.0476,0.27,2.64,1.43,Radial Velocity,2018,La Silla Observatory
GJ 1148 b,GJ 1148,0.166,0.38,96.7,11.9,Radial Velocity,2010,W. M. Keck Observatory
GJ 1148 c,GJ 1148,0.912,0.342,68.06,9.71,Radial Velocity,2017,Calar Alto Observatory
GJ 1214 b,GJ 1214,0.0149,0.063,8.17,2.742,Transit,2009,MEarth Project
GJ 1252 b,GJ 1252,0.00915,0.0,1.32,1.193,Transit,2020,Transiting Exoplanet Survey Satellite (TESS)
GJ 1265 b,GJ 1265,0.026,0.04,7.4,2.63,Radial Velocity,2018,Calar Alto Observatory
GJ 143 b,GJ 143,0.1915,0.188,22.7,2.61,Transit,2019,Transiting Exoplanet Survey Satellite (TESS)
GJ 15 A b,GJ 15 A,0.072,0.094,3.03,1.55,Radial Velocity,2014,W. M. Keck Observatory
GJ 15 A c,GJ 15 A,5.4,0.27,36.0,6.67,Radial Velocity,2018,Roque de los Muchachos Observatory
GJ 160.2 b,GJ 160.2,0.053,0.06,10.2,3.17,Radial Velocity,2014,Multiple Observatories
GJ 163 b,GJ 163,0.0607,0.073,10.6,3.25,Radial Velocity,2013,La Silla Observatory
GJ 163 c,GJ 163,0.1254,0.099,6.8,2.5,Radial Velocity,2013,La Silla Observatory
GJ 163 d,GJ 163,1.0304,0.373,29.4,5.92,Radial Velocity,2013,La Silla Observatory
GJ 179 b,GJ 179,2.41,0.21,301.93699,13.8,Radial Velocity,2009,W. M. Keck Observatory
GJ 180 b,GJ 180,0.092,0.07,6.49,2.43,Radial Velocity,2014,Multiple Observatories
GJ 180 c,GJ 180,0.129,0.09,6.4,2.41,Radial Velocity,2014,Multiple Observatories
GJ 180 d,GJ 180,0.309,0.14,7.56,2.66,Radial Velocity,2020,Multiple Facilities
GJ 2030 b,GJ 2030,0.034,0.239,4.76743,2.03,Radial Velocity,2022,Multiple Observatories
GJ 2030 c,GJ 2030,16.761,0.041,4069.15709,12.3,Radial Velocity,2022,Multiple Observatories
GJ 2056 b,GJ 2056,0.283,0.72,16.2,4.17,Radial Velocity,2020,Multiple Observatories
GJ 229 A c,GJ 229,0.384,0.366,8.58137,2.87,Radial Velocity,2020,Multiple Facilities
GJ 229 b,GJ 229,1.086,0.404,14.93794,3.97,Radial Velocity,2014,Multiple Observatories
GJ 251 b,GJ 251,0.0818,0.1,4.0,1.83,Radial Velocity,2020,W. M. Keck Observatory
GJ 27.1 b,GJ 27.1,0.101,0.08,13.0,3.66,Radial Velocity,2014,Multiple Observatories
GJ 273 b,GJ 273,0.091101,0.1,2.89,1.51,Radial Velocity,2017,La Silla Observatory
GJ 273 c,GJ 273,0.036467,0.17,1.18,1.06,Radial Velocity,2017,La Silla Observatory
GJ 3021 b,GJ 3021,0.49,0.511,1071.04,13.1,Radial Velocity,2000,La Silla Observatory
GJ 3082 b,GJ 3082,0.079,0.22,8.2,2.79,Radial Velocity,2020,Multiple Facilities
GJ 3090 b,GJ 3090,0.03165,0.32,3.34,2.13,Transit,2022,Transiting Exoplanet Survey Satellite (TESS)
GJ 3138 b,GJ 3138,0.0197,0.19,1.78,1.18,Radial Velocity,2017,La Silla Observatory
GJ 3138 c,GJ 3138,0.057,0.11,4.18,1.88,Radial Velocity,2017,La Silla Observatory
GJ 3138 d,GJ 3138,0.698,0.32,10.5,3.23,Radial Velocity,2017,La Silla Observatory
GJ 317 b,GJ 317,1.151,0.07,794.5,13.3,Radial Velocity,2007,W. M. Keck Observatory
GJ 317 c,GJ 317,5.23,0.17,522.5,13.5,Radial Velocity,2018,W. M. Keck Observatory
GJ 3222 b,GJ 3222,0.091,0.929,11.44182,3.4,Radial Velocity,2022,Multiple Observatories
GJ 328 b,GJ 328,4.11,0.227,797.7493,13.3,Radial Velocity,2013,McDonald Observatory
GJ 3293 b,GJ 3293,0.14339,0.06,23.54,5.19,Radial Velocity,2015,La Silla Observatory
GJ 3293 c,GJ 3293,0.36175,0.11,21.09,4.87,Radial Velocity,2015,La Silla Observatory
GJ 3293 d,GJ 3293,0.19394,0.12,7.6,2.67,Radial Velocity,2017,La Silla Observatory
GJ 3293 e,GJ 3293,0.08208,0.21,3.28,1.63,Radial Velocity,2017,La Silla Observatory
GJ 3323 b,GJ 3323,0.03282,0.23,2.02,1.23,Radial Velocity,2017,La Silla Observatory
GJ 3323 c,GJ 3323,0.1264,0.17,2.31,1.32,Radial Velocity,2017,La Silla Observatory
GJ 3341 b,GJ 3341,0.089,0.31,6.6,2.46,Radial Velocity,2015,La Silla Observatory
GJ 338 B b,GJ 338 B,0.142,0.109,10.6,3.25,Radial Velocity,2020,Calar Alto Observatory
GJ 3470 b,GJ 3470,0.0355,0.017,13.9,4.57,Radial Velocity,2012,La Silla Observatory
GJ 3473 b,GJ 3473,0.01589,0.0,1.86,1.264,Transit,2020,Transiting Exoplanet Survey Satellite (TESS)
GJ 3473 c,GJ 3473,0.0876,0.0,7.41,2.63,Radial Velocity,2020,Multiple Observatories
GJ 3512 b,GJ 3512,0.337,0.44,146.20107,14.3,Radial Velocity,2019,Calar Alto Observatory
GJ 3512 c,GJ 3512,1.292,0.0183,63.56568,9.32,Radial Velocity,2020,Multiple Observatories
GJ 3634 b,GJ 3634,0.0287,0.08,8.4,2.83,Radial Velocity,2010,La Silla Observatory
GJ 367 b,GJ 367,0.0071,0.0,0.546,0.718,Transit,2021,Transiting Exoplanet Survey Satellite (TESS)
GJ 3779 b,GJ 3779,0.026,0.07,8.0,2.75,Radial Velocity,2018,Calar Alto Observatory
GJ 3929 b,GJ 3929,0.0252,0.0,1.75,1.09,Transit,2022,Transiting Exoplanet Survey Satellite (TESS)
GJ 3929 c,GJ 3929,0.081,0.0,5.71,2.26,Radial Velocity,2022,Multiple Observatories
GJ 3942 b,GJ 3942,0.0608,0.121,7.14,2.57,Radial Velocity,2017,Roque de los Muchachos Observatory
GJ 3998 b,GJ 3998,0.029,0.0,2.47,1.38,Radial Velocity,2016,Roque de los Muchachos Observatory
GJ 3998 c,GJ 3998,0.089,0.049,6.26,2.38,Radial Velocity,2016,Roque de los Muchachos Observatory
GJ 411 b,GJ 411,0.07879,0.063,2.69,1.45,Radial Velocity,2019,Haute-Provence Observatory
GJ 414 A b,GJ 414 A,0.2324,0.45,7.6,2.63,Radial Velocity,2021,W. M. Keck Observatory
GJ 414 A c,GJ 414 A,1.4,0.105,53.83,8.4,Radial Velocity,2021,W. M. Keck Observatory
GJ 422 b,GJ 422,0.111,0.11,11.07,3.33,Radial Velocity,2014,Multiple Observatories
GJ 4276 b,GJ 4276,0.082,0.37,16.57,4.22,Radial Velocity,2019,Calar Alto Observatory
GJ 433 b,GJ 433,0.062,0.04,6.043,2.33,Radial Velocity,2011,La Silla Observatory
GJ 433 c,GJ 433,4.819,0.12,32.422,6.27,Radial Velocity,2014,Multiple Observatories
GJ 433 d,GJ 433,0.178,0.07,5.223,2.14,Radial Velocity,2020,Multiple Facilities
GJ 436 b,GJ 436,0.0291,0.13827,22.1,4.17,Radial Velocity,2004,W. M. Keck Observatory
GJ 463 b,GJ 463,3.53,0.09,1144.18227,13.0,Radial Velocity,2022,Multiple Observatories
GJ 480 b,GJ 480,0.068,0.1,13.2,3.69,Radial Velocity,2020,Multiple Observatories
GJ 486 b,GJ 486,0.01734,0.05,2.82,1.305,Radial Velocity,2021,Calar Alto Observatory
GJ 514 b,GJ 514,0.422,0.45,5.2,2.13,Radial Velocity,2022,Multiple Observatories
GJ 536 b,GJ 536,0.06661,0.08,5.36,2.17,Radial Velocity,2016,La Silla Observatory
GJ 581 b,GJ 581,0.04061,0.0,15.8,4.11,Radial Velocity,2005,La Silla Observatory
GJ 581 c,GJ 581,0.0721,0.0,5.5,2.21,Radial Velocity,2007,La Silla Observatory
GJ 581 e,GJ 581,0.02815,0.0,1.7,1.17,Radial Velocity,2009,La Silla Observatory
GJ 625 b,GJ 625,0.078361,0.13,2.82,1.49,Radial Velocity,2017,Multiple Observatories
GJ 649 b,GJ 649,1.112,0.083,81.99973,10.8,Radial Velocity,2009,W. M. Keck Observatory
GJ 667 C b,GJ 667 C,0.0505,0.13,5.6,2.23,Radial Velocity,2011,La Silla Observatory
GJ 667 C c,GJ 667 C,0.125,0.02,3.8,1.77,Radial Velocity,2011,La Silla Observatory
GJ 667 C e,GJ 667 C,0.213,0.02,2.7,1.45,Radial Velocity,2013,La Silla Observatory
GJ 667 C f,GJ 667 C,0.156,0.03,2.7,1.45,Radial Velocity,2013,La Silla Observatory
GJ 667 C g,GJ 667 C,0.549,0.08,4.6,1.99,Radial Velocity,2013,La Silla Observatory
GJ 674 b,GJ 674,0.039,0.2,11.09,3.33,Radial Velocity,2007,La Silla Observatory
